State,Party,Candidate,min,25th,median,75th,max,mean,avg_size
Pennsylvania,Republican,Trump,40,44.25,46.95,48.75,51,46.19,650.5
Rhode Island,Democrat,Clinton,43.3,43.725,44.15,44.575,45,44.15,552
Rhode Island,Democrat,Sanders,33.9,37.675,41.45,45.225,49,41.45,552
Rhode Island,Republican,Rubio,0,0,0,0,0,0,0
Rhode Island,Republican,Cruz,0,0,0,0,0,0,0
Rhode Island,Republican,Trump,37.5,47.75,58,59.5,61,52.16666667,413.6666667
South Carolina,Republican,Cruz,0,0,0,0,0,0,0
South Carolina,Republican,Rubio,12.5,14.9575,15.295,18.25,25,16.538,1070.2
South Carolina,Republican,Trump,28,32.9125,34.31,35.25,42,34.179,1070.2
South Carolina,Democrat,Clinton,53,56.75,59.5,61,65,59.36428571,436.7857143
South Carolina,Democrat,Sanders,14,30.25,32,35.875,41,32.03571429,436.7857143
South Dakota,Republican,Trump,0,0,0,0,0,0,0
South Dakota,Republican,Cruz,0,0,0,0,0,0,0
South Dakota,Democrat,Clinton,0,0,0,0,0,0,0
South Dakota,Democrat,Sanders,0,0,0,0,0,0,0
South Dakota,Republican,Rubio,0,0,0,0,0,0,0
Tennessee,Democrat,Clinton,54,56,58,59,60,57.33333333,479.3333333
Tennessee,Democrat,Sanders,32,33,34,35.5,37,34.33333333,479.3333333
Tennessee,Republican,Cruz,15,16.75,18.5,20.25,22,18.5,718.5
Tennessee,Republican,Trump,40,42,44,46,48,44,718.5
Tennessee,Republican,Rubio,0,0,0,0,0,0,0
Texas,Democrat,Clinton,54,57.5,60.71,62.5,67.7,60.40090909,443.7272727
Texas,Democrat,Sanders,26,29.63,34,38,44,34.05090909,443.7272727
Texas,Republican,Rubio,0,0,0,0,0,0,0
Texas,Republican,Cruz,29,33,35.4,38,42,35.43384615,555.4615385
Texas,Republican,Trump,20,25,28,31,32,27.65615385,555.4615385
Utah,Republican,Trump,0,0,0,0,0,0,0
Utah,Republican,Cruz,42,44.75,47.5,50.25,53,47.5,357.5
Utah,Democrat,Sanders,52,52,52,52,52,52,194
Utah,Democrat,Clinton,44,44,44,44,44,44,194
Utah,Republican,Rubio,0,0,0,0,0,0,0
Vermont,Democrat,Clinton,10,10.7,11.4,12.1,12.8,11.4,518.5
Vermont,Democrat,Sanders,77.9,79.925,81.95,83.975,86,81.95,518.5
Vermont,Republican,Rubio,0,0,0,0,0,0,0
Vermont,Republican,Cruz,0,0,0,0,0,0,0
Vermont,Republican,Trump,33.2,33.2,33.2,33.2,33.2,33.2,115
Virginia,Democrat,Clinton,49,51.5,56.5,58.5,60,55.16666667,506.1666667
Virginia,Democrat,Sanders,33,33.25,35,38.25,46,36.83333333,506.1666667
Virginia,Republican,Rubio,13,19,26,27,27,22.4,528.2
Virginia,Republican,Cruz,0,0,0,0,0,0,0
Virginia,Republican,Trump,33,36,38,40,41,37.6,528.2
Washington,Republican,Trump,0,0,0,0,0,0,0
Washington,Republican,Rubio,0,0,0,0,0,0,0
Washington,Republican,Cruz,0,0,0,0,0,0,0
Washington,Democrat,Clinton,0,0,0,0,0,0,0
Washington,Democrat,Sanders,0,0,0,0,0,0,0
West Virginia,Republican,Trump,0,0,0,0,0,0,0
West Virginia,Republican,Cruz,0,0,0,0,0,0,0
West Virginia,Republican,Rubio,0,0,0,0,0,0,0
West Virginia,Democrat,Clinton,37,38.5,40,41.5,43,40,476
West Virginia,Democrat,Sanders,45,45.5,46,46.5,47,46,476
Wisconsin,Republican,Cruz,27.2,36.1,38,41,44,37.81818182,1167.090909
Wisconsin,Republican,Rubio,0,0,0,0,0,0,0
Wisconsin,Democrat,Sanders,41,47,48.5,49.05,51,47.4,543.75
Wisconsin,Democrat,Clinton,43,43,45.95,47.5,50,45.8625,543.75
Wisconsin,Republican,Trump,30.4,31.2,35,37,42,34.79090909,1167.090909
Wyoming,Republican,Cruz,0,0,0,0,0,0,0
Wyoming,Democrat,Clinton,0,0,0,0,0,0,0
Wyoming,Democrat,Sanders,0,0,0,0,0,0,0
Wyoming,Republican,Rubio,0,0,0,0,0,0,0
Wyoming,Republican,Trump,0,0,0,0,0,0,0
